rank,lemma,PoS,freq,perMil,%caps,%allC,range,disp,blog,web,TVM,spok,fic,mag,news,acad,blogPM,webPM,TVMPM,spokPM,ficPM,magPM,newsPM,acadPM
5,of,i,23159162,23321.89,0.01,0.00,0.99,0.97,2897295,3419616,1398417,2542569,2280164,3252696,2867922,4500485,23317.58,26588.36,10918.77,20157.43,19270.82,25796.39,23557.38,37569.65
15,do,v,8186412,8244.70,0.10,0.01,0.86,0.98,1052753,885912,2349422,1472318,953133,594683,557889,321166,8472.61,6888.18,18344.18,11672.50,8055.41,4716.30,4582.55,2681.07
25,they,p,4503650,4535.29,0.23,0.00,0.79,0.98,626530,564689,528941,935257,545027,464425,493994,345418,5042.35,4390.60,4129.95,7414.70,4606.30,3683.25,4057.71,2883.52
35,she,p,3188078,3210.48,0.32,0.00,0.43,0.93,181410,217759,483074,354703,1283180,285458,295580,87513,1460.00,1693.13,3771.82,2812.08,10844.81,2263.90,2427.92,730.55
45,about,i,2427703,2444.76,0.02,0.01,0.72,0.98,360952,299486,409194,484896,248131,235278,231251,158515,2904.96,2328.58,3194.97,3844.24,2097.08,1865.94,1899.52,1323.27
55,there,e,1980173,1994.09,0.36,0.00,0.69,0.98,277871,253845,277096,424023,215316,190643,191696,149683,2236.32,1973.71,2163.55,3361.64,1819.74,1511.95,1574.61,1249.54
65,him,p,1717209,1729.27,0.02,0.01,0.44,0.96,130755,179631,387805,205962,484746,136754,147857,43738,1052.32,1396.68,3027.96,1632.86,4096.83,1084.56,1214.51,365.12
75,could,v,1529795,1540.54,0.03,0.00,0.61,0.98,172936,166121,247799,180303,333318,164533,152742,112043,1391.80,1291.63,1934.80,1429.44,2817.04,1304.87,1254.64,935.32
85,no,a,1206112,1214.59,0.13,0.01,0.58,0.99,179333,176499,218765,135402,154984,120182,113671,107276,1443.28,1372.32,1708.11,1073.46,1309.85,953.14,933.70,895.53
95,man,n,1091176,1099.05,0.12,0.02,0.39,0.98,101002,122971,257542,127193,219772,104329,92261,66314,812.87,956.13,2010.88,1008.38,1857.40,827.41,757.84,553.58
105,very,r,963552,970.32,0.06,0.01,0.49,0.95,137396,122023,130683,293099,72402,79741,72185,56023,1105.77,948.76,1020.37,2323.68,611.91,632.41,592.93,467.67
115,work,v,854095,860.10,0.03,0.01,0.51,0.99,130814,115845,122821,115177,75981,114439,109866,69152,1052.80,900.72,958.98,913.12,642.15,907.59,902.45,577.27
125,call,v,768117,773.51,0.05,0.01,0.48,0.99,75736,85918,148220,116916,106385,94459,93785,46698,609.53,668.03,1157.29,926.91,899.11,749.13,770.36,389.83
135,in,r,726590,731.70,0.10,0.01,0.50,0.99,89317,88106,113342,104336,100650,81346,71127,78366,718.83,685.05,884.97,827.17,850.64,645.14,584.24,654.19
145,as,r,662376,667.03,0.04,0.00,0.50,0.98,104016,96064,49370,82134,84301,98928,77637,69926,837.13,746.92,385.48,651.16,712.47,784.58,637.72,583.74
155,help,v,606887,610.55,0.05,0.01,0.45,0.99,82325,78907,113071,67143,51776,83056,75124,54888,662.56,613.52,882.85,532.31,437.59,658.70,617.08,458.20
165,every,a,567233,571.22,0.13,0.01,0.44,0.98,88808,85219,72068,76208,70447,78147,63740,32595,714.73,662.60,562.70,604.18,595.38,619.77,523.57,272.10
175,yes,u,537066,540.84,0.76,0.01,0.24,0.94,42583,32932,202606,164085,59628,15757,12950,6525,342.71,256.05,1581.94,1300.86,503.95,124.97,106.37,54.47
185,its,a,511922,515.52,0.00,0.00,0.29,0.89,124545,154682,22677,15728,30635,67319,53572,42764,1002.34,1202.69,177.06,124.69,258.91,533.89,440.05,356.99
195,hand,n,481332,484.71,0.03,0.01,0.32,0.94,40622,49037,59118,35953,180107,50101,33629,32765,326.93,381.27,461.59,285.03,1522.18,397.34,276.23,273.52
205,about,r,462995,466.25,0.06,0.00,0.40,0.98,53518,53237,52842,76737,44828,75589,76625,29618,430.72,413.93,412.59,608.37,378.86,599.48,629.40,247.25
215,without,i,438567,441.65,0.09,0.00,0.38,0.98,68726,71052,42839,34425,60441,59308,48165,53611,553.11,552.45,334.48,272.92,510.82,470.36,395.63,447.54
225,story,n,432184,435.22,0.06,0.01,0.30,0.97,62257,69309,36413,83824,44208,49775,48640,37758,501.05,538.89,284.31,664.55,373.62,394.75,399.53,315.20
235,begin,v,421878,424.84,0.05,0.03,0.36,0.97,36224,48322,18158,58204,72120,69879,65335,53636,291.53,375.72,141.78,461.44,609.52,554.19,536.67,447.75
245,fact,n,399574,402.38,0.02,0.01,0.32,0.96,74414,66965,22545,84544,28414,42453,30505,49734,598.89,520.67,176.03,670.26,240.14,336.69,250.57,415.17
255,maybe,r,374325,376.96,0.45,0.01,0.24,0.97,48716,33168,122573,54263,73569,20337,18271,3428,392.07,257.89,957.04,430.20,621.77,161.29,150.08,28.62
265,issue,n,362137,364.68,0.02,0.00,0.26,0.95,64423,54572,8098,75766,5536,39291,47054,67397,518.48,424.31,63.23,600.67,46.79,311.61,386.51,562.62
275,though,c,352608,355.09,0.14,0.00,0.33,0.97,53146,51698,14127,37211,71820,52023,41276,31319,427.72,401.96,110.30,295.01,606.99,412.58,339.04,261.45
285,best,j,348202,350.65,0.08,0.02,0.34,0.98,57725,52366,46910,37476,27956,56993,47467,21309,464.57,407.16,366.27,297.11,236.27,452.00,389.90,177.89
295,both,d,338454,340.83,0.15,0.01,0.32,0.98,43852,46602,26804,41205,35695,41553,37506,65237,352.92,362.34,209.28,326.67,301.68,329.55,308.08,544.59
305,much,r,329230,331.54,0.03,0.01,0.33,0.98,61463,51246,30027,48183,36431,41263,31784,28833,494.66,398.45,234.45,381.99,307.90,327.25,261.08,240.70
315,four,m,319834,322.08,0.11,0.01,0.32,0.98,28395,33747,30945,42059,32725,48961,64272,38730,228.52,262.39,241.62,333.44,276.58,388.30,527.94,323.31
325,car,n,313437,315.64,0.05,0.02,0.18,0.97,31381,26989,62015,33997,67575,41333,43071,7076,252.56,209.85,484.21,269.53,571.11,327.80,353.79,59.07
335,back,n,302390,304.51,0.11,0.01,0.26,0.97,29894,28950,56424,39407,78561,33074,28383,7697,240.59,225.09,440.56,312.42,663.96,262.30,233.14,64.25
345,member,n,292596,294.65,0.05,0.01,0.24,0.96,36144,44438,8532,38670,10430,36374,57953,60055,290.89,345.52,66.62,306.57,88.15,288.47,476.03,501.33
355,whether,c,280973,282.95,0.10,0.00,0.27,0.96,39616,43724,8225,52605,15051,35439,38172,48144,318.83,339.96,64.22,417.05,127.20,281.06,313.55,401.90
365,stay,v,275504,277.44,0.12,0.01,0.25,0.98,27267,25784,76159,38604,43687,28463,27606,7934,219.45,200.48,594.65,306.05,369.22,225.73,226.76,66.23
375,die,v,264537,266.40,0.04,0.01,0.20,0.99,22724,29335,63987,31736,45688,28395,30831,11841,182.88,228.09,499.61,251.60,386.13,225.19,253.25,98.85
385,office,n,258157,259.97,0.17,0.02,0.22,0.97,26902,34053,25234,31931,32222,33467,54889,19459,216.51,264.77,197.03,253.15,272.32,265.42,450.86,162.44
395,grow,v,248803,250.55,0.03,0.01,0.25,0.98,31165,31258,20103,25829,37571,45953,37794,19130,250.82,243.04,156.96,204.77,317.53,364.44,310.44,159.70
405,second,m,243485,245.20,0.17,0.01,0.26,0.97,31181,35185,15882,24097,22345,29676,41325,43794,250.95,273.57,124.01,191.04,188.85,235.35,339.45,365.59
415,low,j,237027,238.69,0.05,0.01,0.22,0.96,31028,31906,9439,16822,22077,40715,26501,58539,249.71,248.08,73.70,133.36,186.58,322.90,217.68,488.68
425,whole,j,233110,234.75,0.03,0.01,0.24,0.98,32007,29347,47210,41152,30084,24316,17683,11311,257.59,228.18,368.61,326.25,254.26,192.84,145.25,94.42
435,hard,j,228234,229.84,0.03,0.01,0.26,0.98,36841,31465,28380,34531,26963,32380,26937,10737,296.50,244.65,221.59,273.76,227.88,256.80,221.26,89.63
445,police,n,219041,220.58,0.19,0.01,0.12,0.93,17732,21217,27075,50836,17378,15486,59903,9414,142.71,164.97,211.40,403.03,146.87,122.82,492.05,78.59
455,break,v,213364,214.86,0.05,0.01,0.23,0.99,24160,25913,41113,26774,33869,26322,24908,10305,194.44,201.48,321.01,212.26,286.24,208.75,204.60,86.03
465,listen,v,208819,210.29,0.25,0.01,0.18,0.97,18040,17693,74341,32380,35669,12746,10306,7644,145.19,137.57,580.45,256.71,301.46,101.09,84.65,63.81
475,full,j,204252,205.69,0.05,0.01,0.24,0.98,30583,33606,20452,16899,31163,28780,23481,19288,246.13,261.29,159.69,133.97,263.37,228.25,192.88,161.01
485,local,j,200668,202.08,0.03,0.00,0.19,0.96,26538,26832,5771,17783,9478,31696,39273,43297,213.58,208.63,45.06,140.98,80.10,251.37,322.59,361.44
495,value,n,195639,197.01,0.04,0.00,0.15,0.93,30048,37008,3650,11718,3858,25115,20213,64029,241.83,287.75,28.50,92.90,32.61,199.18,166.03,534.51
505,explain,v,193276,194.63,0.03,0.00,0.21,0.98,26377,27547,17275,17572,22632,32049,16645,33179,212.28,214.18,134.88,139.31,191.27,254.17,136.72,276.98
515,movie,n,190773,192.11,0.05,0.01,0.12,0.97,31147,30736,23475,32887,13260,25733,29149,4386,250.67,238.98,183.29,260.73,112.07,204.08,239.43,36.61
525,difference,n,185310,186.61,0.02,0.00,0.17,0.94,25958,25744,9593,20608,7724,17804,13898,63981,208.91,200.17,74.90,163.38,65.28,141.20,114.16,534.11
535,effort,n,181751,183.03,0.01,0.00,0.20,0.95,24624,25666,3650,19471,9022,24774,31266,43278,198.18,199.56,28.50,154.37,76.25,196.48,256.82,361.28
545,because,i,178859,180.12,0.12,0.00,0.22,0.97,27250,25925,12429,26405,10596,19728,29150,27376,219.31,201.57,97.05,209.34,89.55,156.46,239.44,228.53
555,need,n,175440,176.67,0.02,0.00,0.18,0.95,26911,26748,11600,10594,10625,21556,17260,50146,216.58,207.97,90.57,83.99,89.80,170.96,141.78,418.61
565,situation,n,171026,172.23,0.02,0.01,0.18,0.97,28167,25728,12139,32637,9492,15986,17029,29848,226.69,200.04,94.78,258.75,80.22,126.78,139.88,249.17
575,share,v,168892,170.08,0.08,0.00,0.20,0.96,36064,30739,11341,13524,12829,24293,17873,22229,290.24,239.00,88.55,107.22,108.42,192.66,146.81,185.57
585,simply,r,166556,167.73,0.04,0.00,0.19,0.96,36505,30689,5366,18021,14570,24888,14950,21567,293.79,238.61,41.90,142.87,123.14,197.38,122.80,180.04
595,open,j,163231,154.37,0.13,0.01,0.17,0.98,19816,19103,12478,12717,29529,20536,24442,14670,159.48,148.53,97.43,100.82,249.56,162.87,200.77,122.46
605,save,v,161469,162.60,0.09,0.01,0.17,0.99,23350,24073,35347,16391,16879,21357,17167,6905,187.92,187.17,275.99,129.95,142.65,169.38,141.01,57.64
615,guess,v,159454,160.57,0.09,0.01,0.15,0.96,21706,15355,57719,28378,23413,5878,5453,1552,174.69,119.39,450.67,224.98,197.88,46.62,44.79,12.96
625,election,n,156532,157.63,0.08,0.00,0.09,0.93,36216,31470,2326,35711,1177,12627,24718,12287,291.47,244.69,18.16,283.12,9.95,100.14,203.04,102.57
635,certain,j,154059,155.14,0.03,0.00,0.18,0.97,22518,25422,9217,20460,16158,19471,14015,26798,181.23,197.66,71.97,162.21,136.56,154.42,115.12,223.71
645,available,j,151406,152.47,0.04,0.00,0.16,0.95,23410,27426,3727,8848,3662,26372,20432,37533,188.40,213.24,29.10,70.15,30.95,209.15,167.83,313.32
655,current,j,148387,149.43,0.06,0.01,0.16,0.95,27078,26043,2442,8783,4657,20142,22486,36756,217.93,202.49,19.07,69.63,39.36,159.74,184.70,306.84
665,list,n,146495,147.52,0.05,0.01,0.15,0.97,27015,29674,11415,13379,8168,20332,21762,14750,217.42,230.72,89.13,106.07,69.03,161.25,178.76,123.13
675,fire,n,144750,145.77,0.14,0.02,0.12,0.98,13488,17362,23136,18278,27262,16785,21071,7368,108.55,134.99,180.64,144.91,230.41,133.12,173.08,61.51
685,author,n,142352,143.35,0.17,0.01,0.14,0.94,21450,29146,1077,11023,5315,28196,12567,33578,172.63,226.62,8.41,87.39,44.92,223.62,103.23,280.31
695,note,v,139111,140.09,0.17,0.02,0.16,0.94,20136,25198,1657,4618,5811,22846,18193,40652,162.06,195.92,12.94,36.61,49.11,181.19,149.44,339.36
705,nearly,r,138034,139.00,0.08,0.00,0.18,0.96,15291,17158,4491,12719,17747,28082,29375,13171,123.06,133.41,35.07,100.84,149.99,222.71,241.29,109.95
715,top,n,136658,137.62,0.12,0.02,0.16,0.96,19138,18592,10691,11958,19621,30051,20060,6548,154.02,144.56,83.47,94.80,165.83,238.33,164.77,54.66
725,worker,n,135244,136.19,0.07,0.01,0.10,0.95,16386,16578,3409,15322,5384,18584,30125,29456,131.88,128.90,26.62,121.47,45.50,147.39,247.45,245.90
735,race,n,133182,134.12,0.07,0.01,0.10,0.96,20926,19981,7217,23072,6085,15552,25058,15291,168.41,155.36,56.35,182.91,51.43,123.34,205.83,127.65
745,poor,j,131105,132.03,0.10,0.00,0.13,0.98,21725,20554,12340,10514,13588,16438,15781,20165,174.84,159.81,96.35,83.35,114.84,130.37,129.63,168.34
755,enjoy,v,129575,130.49,0.07,0.01,0.16,0.97,25965,23031,15287,10001,12939,18848,14268,9236,208.97,179.07,119.36,79.29,109.35,149.48,117.20,77.10
765,defense,n,127924,128.82,0.21,0.01,0.10,0.95,17456,16265,5450,27414,3659,15405,28206,14069,140.49,126.46,42.55,217.34,30.92,122.17,231.69,117.45
775,century,n,126668,127.56,0.09,0.01,0.12,0.95,13566,18143,4631,9115,7334,25805,14183,33891,109.18,141.07,36.16,72.26,61.98,204.65,116.50,282.92
785,animal,n,124835,125.71,0.09,0.01,0.09,0.97,12415,18663,12773,10184,16802,23821,11873,18304,99.92,145.11,99.73,80.74,142.00,188.92,97.53,152.80
795,mile,n,122899,123.76,0.04,0.01,0.12,0.96,10814,11873,11724,13833,15082,29745,24001,5827,87.03,92.32,91.54,109.67,127.47,235.90,197.15,48.64
805,compare,v,120978,121.83,0.08,0.00,0.13,0.94,18257,19839,3038,7718,3928,16204,13666,38328,146.93,154.25,23.72,61.19,33.20,128.51,112.25,319.96
815,sister,n,120346,118.94,0.13,0.01,0.09,0.96,8434,10112,25846,12837,31765,13012,11863,4244,67.88,78.62,201.80,101.77,268.46,103.20,97.44,35.43
825,thus,r,118653,119.49,0.44,0.00,0.10,0.89,14880,22381,1383,1576,4267,12143,4828,57195,119.76,174.02,10.80,12.49,36.06,96.30,39.66,477.46
835,candidate,n,116347,117.16,0.05,0.01,0.08,0.92,21497,18500,1891,30085,1521,11165,21658,10030,173.01,143.84,14.76,238.51,12.85,88.55,177.90,83.73
845,somebody,p,115363,116.17,0.17,0.01,0.11,0.94,6570,5765,39679,37146,12280,5535,7230,1166,52.88,44.82,309.81,294.49,103.78,43.90,59.39,9.73
855,meeting,n,114209,115.01,0.04,0.01,0.12,0.97,10979,12875,12706,16752,9539,13216,22587,15555,88.36,100.11,99.21,132.81,80.62,104.81,185.53,129.85
865,imagine,v,112572,113.36,0.13,0.00,0.14,0.97,17437,14365,12970,13870,26016,12995,7394,7525,140.33,111.69,101.27,109.96,219.87,103.06,60.74,62.82
875,disease,n,111433,112.22,0.09,0.00,0.07,0.93,9369,15563,4455,12084,3442,27002,11006,28512,75.40,121.01,34.78,95.80,29.09,214.15,90.40,238.02
885,apply,v,110328,111.10,0.04,0.00,0.12,0.94,17331,23913,3147,6970,4113,16253,10056,28545,139.48,185.93,24.57,55.26,34.76,128.90,82.60,238.29
895,rise,v,109035,109.80,0.07,0.01,0.13,0.96,10895,13365,4909,8896,25501,18516,17716,9237,87.68,103.92,38.33,70.53,215.52,146.85,145.52,77.11
905,set,n,106920,107.67,0.03,0.01,0.12,0.96,13686,15710,6565,8255,9481,18334,10978,23911,110.15,122.15,51.26,65.45,80.13,145.40,90.17,199.61
915,method,n,105544,106.29,0.11,0.02,0.09,0.89,13385,19393,1793,2632,2137,12313,5380,48511,107.72,150.79,14.00,20.87,18.06,97.65,44.19,404.97
925,shit,n,104498,105.23,0.22,0.02,0.04,0.85,8998,5681,73057,66,14452,1977,17,250,72.42,44.17,570.43,0.52,122.14,15.68,0.14,2.09
935,interview,n,103566,104.29,0.05,0.00,0.10,0.95,12433,13705,5110,19727,3672,10043,19386,19490,100.06,106.56,39.90,156.40,31.03,79.65,159.24,162.70
945,blue,j,102172,102.89,0.23,0.01,0.11,0.95,9158,9808,11766,6331,31442,16292,12408,4967,73.70,76.26,91.87,50.19,265.73,129.21,101.92,41.46
955,environment,n,101479,102.19,0.06,0.00,0.10,0.92,12931,13909,2391,7676,1970,14465,9655,38482,104.07,108.15,18.67,60.86,16.65,114.72,79.31,321.24
965,river,n,100270,100.97,0.46,0.01,0.07,0.95,5939,9498,6668,6474,18549,22273,18725,12144,47.80,73.85,52.06,51.33,156.77,176.64,153.81,101.38
975,bit,r,99520,100.22,0.01,0.00,0.13,0.97,20425,14948,13547,18715,12350,9913,7688,1934,164.38,116.22,105.77,148.37,104.38,78.62,63.15,16.14
985,absolutely,r,98574,99.27,0.30,0.01,0.12,0.93,15038,11767,14781,38528,5621,5529,5285,2025,121.03,91.49,115.41,305.45,47.51,43.85,43.41,16.90
995,trouble,n,97439,98.12,0.05,0.01,0.13,0.98,9309,9853,22708,14041,16065,11063,10876,3524,74.92,76.61,177.30,111.32,135.77,87.74,89.34,29.42
1005,seat,n,96853,97.53,0.02,0.01,0.10,0.96,8852,9681,12262,9904,24359,11987,15790,4018,71.24,75.27,95.74,78.52,205.87,95.07,129.70,33.54
1015,necessary,j,95580,96.25,0.01,0.00,0.12,0.95,13757,17898,5104,7041,5800,11243,8739,25998,110.72,139.16,39.85,55.82,49.02,89.17,71.78,217.03
1025,democratic,j,94862,95.53,0.72,0.01,0.07,0.93,11956,11634,557,26715,471,10359,18060,15110,96.22,90.46,4.35,211.80,3.98,82.15,148.35,126.14
1035,address,v,94155,94.82,0.02,0.00,0.11,0.94,13528,14119,1689,10102,3971,9109,10400,31237,108.87,109.78,13.19,80.09,33.56,72.24,85.43,260.76
1045,management,n,93289,93.94,0.21,0.01,0.08,0.92,11981,12374,1546,4211,1398,13739,14904,33136,96.42,96.21,12.07,33.38,11.82,108.96,122.42,276.62
1055,tomorrow,r,92490,93.16,0.15,0.01,0.09,0.95,6386,5338,36157,22978,13056,3766,3585,1245,51.39,41.50,282.31,182.17,110.34,29.87,29.45,10.39
1065,stick,v,91597,92.24,0.06,0.01,0.12,0.98,12941,10384,18981,9909,17812,11315,8271,1984,104.15,80.74,148.20,78.56,150.54,89.74,67.94,16.56
1075,discover,v,90959,91.60,0.03,0.00,0.12,0.97,11526,14211,6087,7842,11310,19006,9669,11308,92.76,110.49,47.53,62.17,95.59,150.73,79.42,94.40
1085,user,n,90342,90.98,0.07,0.00,0.06,0.91,21047,26303,588,2024,657,14563,7997,17163,169.39,204.51,4.59,16.05,5.55,115.50,65.69,143.28
1095,inside,i,89494,90.12,0.11,0.01,0.11,0.96,7925,8783,9066,12408,23356,12739,10418,4799,63.78,68.29,70.79,98.37,197.39,101.03,85.57,40.06
1105,nor,c,88431,89.05,0.18,0.00,0.11,0.95,13973,18773,3188,3918,12234,11232,8114,16999,112.46,145.96,24.89,31.06,103.40,89.08,66.65,141.91
1115,through,r,87238,87.85,0.01,0.01,0.12,0.98,10768,9727,17719,14988,13580,9071,8057,3328,86.66,75.63,138.35,118.82,114.77,71.94,66.18,27.78
1125,mouth,n,86406,87.01,0.02,0.01,0.09,0.91,6169,8266,12713,4747,40031,7639,3930,2911,49.65,64.27,99.26,37.63,338.32,60.58,32.28,24.30
1135,travel,v,85441,86.04,0.05,0.01,0.11,0.98,11059,12737,7017,9147,10188,14746,13197,7350,89.00,99.03,54.79,72.52,86.10,116.95,108.40,61.36
1145,photograph,n,84476,85.07,0.54,0.04,0.06,0.79,3181,4387,2380,3993,7329,48628,5160,9418,25.60,34.11,18.58,31.66,61.94,385.66,42.38,78.62
1155,touch,v,83871,84.46,0.04,0.01,0.10,0.95,6588,8260,18206,7381,26234,8312,5539,3351,53.02,64.22,142.15,58.52,221.72,65.92,45.50,27.97
1165,suffer,v,82579,83.16,0.01,0.00,0.11,0.97,12394,13145,6169,9036,6620,13317,12485,9413,99.75,102.21,48.17,71.64,55.95,105.61,102.55,78.58
1175,heat,n,82112,82.69,0.11,0.01,0.07,0.93,7720,8002,5008,4732,11973,26573,12905,5199,62.13,62.22,39.10,37.52,101.19,210.74,106.00,43.40
1185,judge,n,81312,81.88,0.16,0.01,0.06,0.95,7353,10853,7015,18076,4645,6369,18239,8762,59.18,84.38,54.77,143.31,39.26,50.51,149.82,73.14
1195,fall,n,80585,81.15,0.17,0.01,0.11,0.96,8864,9186,4654,7179,8568,16114,18016,8004,71.34,71.42,36.34,56.91,72.41,127.80,147.99,66.82
1205,internet,n,80144,80.71,0.69,0.00,0.07,0.93,18366,17588,3010,8268,1692,12397,10847,7976,147.81,136.75,23.50,65.55,14.30,98.32,89.10,66.58
1215,element,n,79440,80.00,0.03,0.00,0.08,0.92,8858,19666,2359,5546,2695,10706,5985,23625,71.29,152.91,18.42,43.97,22.78,84.91,49.16,197.22
1225,wind,n,78623,79.18,0.10,0.01,0.07,0.95,9534,8754,5938,6565,21238,13866,7574,5154,76.73,68.06,46.36,52.05,179.49,109.97,62.21,43.03
1235,just,j,78214,78.76,0.08,0.01,0.10,0.97,11097,9189,25865,13450,6819,5076,4480,2238,89.31,71.45,201.95,106.63,57.63,40.26,36.80,18.68
1245,interested,j,77632,78.18,0.02,0.00,0.11,0.98,14291,12193,9347,9767,7136,8066,8212,8620,115.01,94.80,72.98,77.43,60.31,63.97,67.45,71.96
1255,researcher,n,76737,77.28,0.13,0.00,0.06,0.89,5892,7857,518,3393,738,26289,7024,25026,47.42,61.09,4.04,26.90,6.24,208.49,57.70,208.91
1265,capital,n,76018,76.55,0.18,0.01,0.07,0.95,9676,10165,1896,9868,2508,11694,15602,14609,77.87,79.04,14.80,78.23,21.20,92.74,128.16,121.95
1275,hill,n,75365,75.89,0.55,0.01,0.08,0.96,5567,6224,5463,7573,14580,13905,17352,4704,44.80,48.39,42.65,60.04,123.22,110.28,142.53,39.27
1285,basic,j,74208,74.73,0.07,0.00,0.09,0.94,11578,12569,2087,6078,2269,12279,7455,19893,93.18,97.73,16.30,48.19,19.18,97.38,61.24,166.06
1295,engage,v,73493,74.01,0.02,0.00,0.09,0.94,11107,11407,3468,7185,3363,7965,6308,22690,89.39,88.69,27.08,56.96,28.42,63.17,51.81,189.41
1305,smile,v,73137,73.65,0.04,0.00,0.06,0.84,3114,5297,5063,2282,48212,4582,3686,901,25.06,41.19,39.53,18.09,407.46,36.34,30.28,7.52
1315,contract,n,72568,73.08,0.05,0.00,0.06,0.94,10498,10595,4378,5232,3153,8937,19249,10526,84.49,82.38,34.18,41.48,26.65,70.88,158.11,87.87
1325,apple,n,72273,72.78,0.63,0.01,0.05,0.93,19319,15493,3843,3871,5591,15061,7344,1751,155.48,120.46,30.01,30.69,47.25,119.45,60.32,14.62
1335,sales,n,71601,72.10,0.05,0.00,0.07,0.93,13081,9533,1899,5530,1789,14069,20642,5058,105.28,74.12,14.83,43.84,15.12,111.58,169.56,42.22
1345,lake,n,70940,71.44,0.59,0.02,0.05,0.94,4540,5924,4704,4003,10561,15720,18057,7431,36.54,46.06,36.73,31.74,89.26,124.67,148.32,62.03
1355,gain,v,70275,70.77,0.02,0.00,0.10,0.96,10673,11471,2768,6273,4128,10900,9694,14368,85.90,89.19,21.61,49.73,34.89,86.45,79.63,119.94
1365,location,n,69669,70.16,0.06,0.01,0.08,0.96,9772,11913,4886,4108,3086,10722,11286,13896,78.65,92.63,38.15,32.57,26.08,85.03,92.70,116.00
1375,otherwise,r,69243,69.73,0.21,0.00,0.10,0.97,13575,14220,5248,4921,6603,8870,6739,9067,109.25,110.56,40.98,39.01,55.81,70.35,55.35,75.69
1385,highly,r,68586,69.07,0.03,0.00,0.10,0.95,10398,11573,2733,4488,2614,10440,7513,18827,83.68,89.98,21.34,35.58,22.09,82.80,61.71,157.17
1395,cry,v,68161,68.64,0.03,0.01,0.07,0.94,6070,8025,11537,6826,24135,5749,4365,1454,48.85,62.40,90.08,54.12,203.98,45.59,35.85,12.14
1405,associate,v,67750,68.23,0.02,0.00,0.07,0.89,7026,9677,904,3374,1362,7577,4326,33504,56.55,75.24,7.06,26.75,11.51,60.09,35.53,279.69
1415,connection,n,67550,68.02,0.05,0.01,0.08,0.97,9348,10762,4907,5812,4793,10269,6963,14696,75.23,83.68,38.31,46.08,40.51,81.44,57.19,122.68
1425,smart,j,67232,67.70,0.06,0.01,0.09,0.98,11614,9329,13066,8087,7266,9839,6040,1991,93.47,72.54,102.02,64.11,61.41,78.03,49.61,16.62
1435,ride,v,66723,67.19,0.05,0.01,0.07,0.96,6690,6482,10337,4570,15189,12985,8686,1784,53.84,50.40,80.71,36.23,128.37,102.98,71.35,14.89
1445,presence,n,66412,66.88,0.03,0.00,0.08,0.95,7440,9661,2862,4370,8131,8660,6965,18323,59.88,75.12,22.35,34.65,68.72,68.68,57.21,152.96
1455,crowd,n,65965,66.43,0.05,0.02,0.08,0.96,7495,6694,4598,8319,16004,8673,11709,2473,60.32,52.05,35.90,65.95,135.26,68.78,96.18,20.64
1465,border,n,65422,65.88,0.07,0.00,0.06,0.93,5414,7250,2678,15413,3735,9340,12375,9217,43.57,56.37,20.91,122.19,31.57,74.07,101.65,76.94
1475,website,n,64875,64.86,0.05,0.00,0.07,0.90,22351,19050,1255,3439,730,6479,6257,4846,179.88,148.12,9.80,27.26,6.17,51.38,51.40,40.45
1485,relation,n,64199,64.65,0.12,0.00,0.06,0.90,4668,7285,1269,6481,1774,5514,8194,29014,37.57,56.64,9.91,51.38,14.99,43.73,67.31,242.21
1495,volume,n,63626,64.08,0.26,0.00,0.05,0.77,5799,8375,995,2018,3613,7802,4326,30704,46.67,65.12,7.77,16.00,30.54,61.88,35.53,256.31
1505,extra,j,63392,63.84,0.04,0.01,0.09,0.97,10703,8876,7252,4742,6205,13003,9163,3448,86.14,69.01,56.62,37.59,52.44,103.12,75.27,28.78
1515,hire,v,62794,63.24,0.03,0.00,0.08,0.97,8967,8105,7438,6947,5417,7838,14037,4045,72.17,63.02,58.08,55.08,45.78,62.16,115.30,33.77
1525,forest,n,61942,62.38,0.27,0.02,0.04,0.94,3664,5155,3226,2897,9202,14865,9478,13455,29.49,40.08,25.19,22.97,77.77,117.89,77.85,112.32
1535,focus,n,61392,61.82,0.05,0.01,0.08,0.94,8511,8039,1578,6990,2561,7613,7423,18677,68.50,62.51,12.32,55.42,21.64,60.38,60.97,155.91
1545,advice,n,60861,61.29,0.04,0.01,0.08,0.97,11178,10075,5878,7533,3786,10754,6235,5422,89.96,78.34,45.90,59.72,32.00,85.29,51.21,45.26
1555,enemy,n,60473,60.90,0.05,0.01,0.06,0.98,8334,10845,8427,6844,6816,8549,5191,5467,67.07,84.32,65.80,54.26,57.61,67.80,42.64,45.64
1565,female,j,60116,60.54,0.08,0.02,0.05,0.94,7464,7476,2998,3973,4478,8127,6738,18862,60.07,58.13,23.41,31.50,37.85,64.45,55.35,157.46
1575,glad,j,59681,60.10,0.11,0.01,0.08,0.97,10528,7609,18187,7803,10136,2350,2494,574,84.73,59.16,142.00,61.86,85.66,18.64,20.49,4.79
1585,kick,v,59307,59.72,0.06,0.01,0.08,0.98,7356,6247,13929,6008,11995,6463,6475,834,59.20,48.57,108.76,47.63,101.38,51.26,53.19,6.96
1595,actor,n,58856,59.27,0.11,0.04,0.05,0.96,6434,7109,4147,11884,2815,8877,10705,6885,51.78,55.27,32.38,94.22,23.79,70.40,87.93,57.48
